gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
ENSMUSG00000051951	15.893702067097204	1e-8	15.856953038492453	21.00723230360966
ENSMUSG00000089699	0	NA	NA	22.87054676053667
ENSMUSG00000102343	0.500016354148334	1e-8	1e-8	22.87054676053667
ENSMUSG00000025900	0	8493.130313070178	1.3115318264633955e-4	21.672776520444955
ENSMUSG00000025902	26.71043252357166	28.295379047262426	26.770241519580214	0.7265829468894589
ENSMUSG00000104328	0	1e-8	1e-8	22.87054676053667
ENSMUSG00000033845	0.05913930023502273	0.058898440637069664	0.05892715607121282	0.17439994383242585
ENSMUSG00000025903	0.07788852639674339	0.07764632025541947	0.07762494898346665	0.26632157740639745
ENSMUSG00000104217	0	1e-8	1e-8	21.085785241124945
ENSMUSG00000033813	0.03599144155253167	0.03562663446412022	0.03572905182880154	0.23308939595926167
ENSMUSG00000002459	5.634959281084186	1e-8	5.609211160759769	9.795871203225271
ENSMUSG00000085623	0	NA	NA	22.87054676053667
ENSMUSG00000033793	0.08642173731149068	0.08686590378187613	0.08630538712517455	0.4015156816148155
ENSMUSG00000025905	13.93076176680337	1e-8	13.922765047571945	8.099955448028771
ENSMUSG00000033774	26.726974028664927	1e-8	26.504953716986346	15.376407232693124
ENSMUSG00000025907	0.16017511154381014	1e-8	0.15864535947324068	0.5804408594929302
ENSMUSG00000090031	0.4802235782867382	1e-8	0.47979514522965444	6.849117631934502
ENSMUSG00000087247	7.468980056603293	1e-8	7.464490587025651	14.519382746499643
ENSMUSG00000033740	887.4617039591611	1e-8	1e-8	22.87054676053667
ENSMUSG00000051285	0.5425850438131931	1e-8	0.5412893339498536	0.7759620611186553
ENSMUSG00000097797	0.8878429565130789	1e-8	0.8874398156820138	6.060163390725455
ENSMUSG00000103067	0	1e-8	1e-8	21.446954951798975
ENSMUSG00000025909	0	1e-8	1e-8	21.837943538441063
ENSMUSG00000061024	0.08826256455707837	0.08813839176202916	0.08812789005746932	0.17678328438317112
ENSMUSG00000025911	1.5378035807373802	1e-8	1.5376038595097805	15.275435112313986
ENSMUSG00000067879	0	NA	NA	22.87054676053667
ENSMUSG00000099827	0	NA	NA	22.87054676053667
ENSMUSG00000025912	1.3661088986790442	1e-8	1.365376024681657	6.69039537200705
ENSMUSG00000045210	0.17921646854427084	1e-8	0.1782443123286417	0.7352536695535886
ENSMUSG00000097893	5.876904619252754	1e-8	5.862497236257188	8.619933626795499
ENSMUSG00000025915	1.6337794933557188	1e-8	1.6280771471451299	0.9971333550211718
ENSMUSG00000046101	1.456723658302423	1e-8	1.4566271275186988	5.143070437388612
ENSMUSG00000098234	0.14981737922771143	0.14751703759582482	0.14726494065181192	0.24136419807767512
ENSMUSG00000099032	4.804934987795431	1e-8	4.751676306370718	15.476700292493456
ENSMUSG00000025916	130.70063721374552	1e-8	125.37013510929373	20.293199434691168
ENSMUSG00000087199	0	NA	NA	22.87054676053667
ENSMUSG00000025917	0.024364754192989686	0.024135135480303205	0.024208267196555	0.18519716292705912
ENSMUSG00000056763	0.13032926981782297	0.13331911110146513	0.1298415648357876	0.4077414151202492
ENSMUSG00000067851	0.21163463889022557	1e-8	0.20661313287844962	0.7122525777573689
ENSMUSG00000042501	17.640814495730847	1e-8	17.609682013887344	12.45043384071596
ENSMUSG00000048960	1.7095551625923229	1e-8	1.6975472562167255	1.1335478841364102
ENSMUSG00000057715	3.0947416207786294	1e-8	3.0885186732174112	3.6038866981299194
ENSMUSG00000097171	0	1e-8	1e-8	22.454783138074724
