job_id	extension_id	method	timing_user	timing_system	timing_elapsed
62570069	991c5	glm_gp overdispersion = 0	39.979	3.804	43.818
62570069	991c5	glm_gp	133.589	5.204	133.863
62570069	991c5	glm_gp on disk	337.285	17.627	350.084
62570069	991c5	DESeq2 with glmGamPoi	165.921	21.394	187.132
62570069	991c5	edgeR	799.675	27.668	827.689
62570069	991c5	DESeq2	1690.886	44.257	1735.233
62570070	cf718	glm_gp overdispersion = 0	70.709	5.526	76.247
62570070	cf718	glm_gp	203.773	7.59	209.326
62570070	cf718	glm_gp on disk	399.308	25.147	422.443
62570070	cf718	DESeq2 with glmGamPoi	226.204	32.459	258.198
62570070	cf718	edgeR	1052.594	29.458	1082.13
62570070	cf718	DESeq2	2490.771	44.431	2534.87
62570071	42786	glm_gp overdispersion = 0	69.26	5.494	74.801
62570071	42786	glm_gp	200.774	7.621	206.377
62570071	42786	glm_gp on disk	399.295	24.664	421.93
62570071	42786	DESeq2 with glmGamPoi	224.033	32.216	255.775
62570071	42786	edgeR	1052.116	29.062	1081.271
62570071	42786	DESeq2	2484.915	46.872	2531.485
62570072	05ac0	glm_gp overdispersion = 0	43.242	3.298	46.544
62570072	05ac0	glm_gp	169.447	3.496	170.9
62570072	05ac0	glm_gp on disk	368.814	13.248	380.025
62570072	05ac0	DESeq2 with glmGamPoi	192.162	15.804	207.625
62570072	05ac0	edgeR	961.717	20.094	981.861
62570072	05ac0	DESeq2	2477.054	39.28	2515.959
62570073	c0a21	glm_gp overdispersion = 0	42.95	3.307	46.274
62570073	c0a21	glm_gp	168.325	3.621	169.917
62570073	c0a21	glm_gp on disk	365.599	12.56	376.202
62570073	c0a21	DESeq2 with glmGamPoi	190.92	15.043	205.701
62570073	c0a21	edgeR	951.708	18.199	969.998
62570073	c0a21	DESeq2	2206.61	31.158	2237.399
