job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996933	21bc0	edgeR	Cont	5	466.6	2.84	253.796
63996933	21bc0	DESeq2	Cont	5	458.912	15.941	378.172
63996933	21bc0	glm_gp overdispersion = 0	Cont	6	111.663	1.576	58.331
63996933	21bc0	glm_gp	Cont	6	171.766	2.337	109.11
63996933	21bc0	glm_gp on disk	Cont	6	206.702	4.281	146.398
63996933	21bc0	DESeq2 with glmGamPoi	Cont	6	214.004	5.095	180.048
63996933	21bc0	edgeR	Cont	6	517.457	2.966	283.095
63996933	21bc0	DESeq2	Cont	6	557.506	20.77	437.551
63996933	21bc0	glm_gp overdispersion = 0	Cont	7	130.07	1.924	67.713
63996933	21bc0	glm_gp	Cont	7	206.517	2.688	132.413
63996933	21bc0	glm_gp on disk	Cont	7	240.1	4.314	168.335
63996933	21bc0	DESeq2 with glmGamPoi	Cont	7	239.926	5.54	199.504
63996933	21bc0	edgeR	Cont	7	542.886	3.11	299.698
63996933	21bc0	DESeq2	Cont	7	693.577	27.716	518.476
63996934	cc7ca	glm_gp overdispersion = 0	Cat	1	6.573	0.867	7.324
63996934	cc7ca	glm_gp	Cat	1	19.454	1.055	19.868
63996934	cc7ca	glm_gp on disk	Cat	1	43.074	2.051	44.48
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	1	26.638	1.808	28.413
63996934	cc7ca	edgeR	Cat	1	101.746	2.678	104.476
63996934	cc7ca	DESeq2	Cat	1	223.837	4.481	228.342
63996934	cc7ca	glm_gp overdispersion = 0	Cat	2	5.249	0.694	5.864
63996934	cc7ca	glm_gp	Cat	2	19.623	0.867	19.88
63996934	cc7ca	glm_gp on disk	Cat	2	50.075	2.279	51.731
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	2	38.923	3.067	41.89
63996934	cc7ca	edgeR	Cat	2	143.453	1.765	103.668
63996934	cc7ca	DESeq2	Cat	2	240.753	3.906	244.586
63996934	cc7ca	glm_gp overdispersion = 0	Cat	3	5.283	0.559	5.713
63996934	cc7ca	glm_gp	Cat	3	22.995	0.801	23.381
63996934	cc7ca	glm_gp on disk	Cat	3	61.055	2.945	63.571
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	3	57.295	3.056	46.89
63996934	cc7ca	edgeR	Cat	3	158.743	2.451	114.598
63996934	cc7ca	DESeq2	Cat	3	270.756	4.448	260.258
63996934	cc7ca	glm_gp overdispersion = 0	Cat	4	66.878	1.208	35.801
63996934	cc7ca	glm_gp	Cat	4	91.192	1.857	56.327
63996934	cc7ca	glm_gp on disk	Cat	4	122.424	3.86	90.43
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	4	79.558	4.516	60.547
63996934	cc7ca	edgeR	Cat	4	338.82	3.515	176.776
63996934	cc7ca	DESeq2	Cat	4	230.697	4.847	208.407
63996934	cc7ca	glm_gp overdispersion = 0	Cat	5	80.105	1.323	42.442
